 Mortalidade - Brasil
Óbitos p/Ocorrênc por Município e Ano do Óbito
Causa - CID-BR-10: . 104 Acidentes de transporte
Período:2010-2019
"Município";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"313370 Itatiaiuçu";6;6;6;5;12;9;2;9;4;1;60
"313375 Itaú de Minas";-;-;6;-;5;2;1;1;-;1;16
"313380 Itaúna";18;15;16;20;22;12;13;9;15;12;152
"313390 Itaverava";-;-;1;1;7;1;2;-;1;-;13
"313400 Itinga";-;1;2;4;2;1;3;-;-;2;15
"313410 Itueta";-;-;-;1;1;-;1;4;-;3;10
"313420 Ituiutaba";32;27;24;28;18;27;21;28;21;17;243
"313430 Itumirim";1;1;1;-;1;6;-;3;-;4;17
"313440 Iturama";8;13;5;7;9;7;8;10;3;7;77
"313450 Itutinga";2;-;3;1;3;1;-;-;-;2;12
"313460 Jaboticatubas";6;6;4;8;5;2;5;4;-;4;44
"313470 Jacinto";1;-;1;1;2;2;1;-;1;3;12
"313480 Jacuí";-;1;1;-;3;1;-;-;2;1;9
"313490 Jacutinga";3;1;2;3;-;-;-;3;3;3;18
"313500 Jaguaraçu";2;5;3;3;-;-;-;3;-;3;19
"313505 Jaíba";6;9;12;5;9;10;4;3;5;4;67
"313507 Jampruca";4;1;1;1;2;3;2;-;-;4;18
"313510 Janaúba";18;18;27;26;22;24;11;10;13;14;183
"313520 Januária";8;13;18;9;7;11;7;6;5;11;95
"313530 Japaraíba";-;-;2;2;1;1;-;2;-;2;10
"313535 Japonvar";3;4;6;1;3;2;-;2;-;2;23
"313540 Jeceaba";1;-;1;-;1;1;-;-;2;2;8
"313545 Jenipapo de Minas";-;-;-;-;-;1;-;-;1;1;3
"313550 Jequeri";1;-;-;1;-;-;1;1;1;1;6
"313560 Jequitaí";6;5;5;8;2;4;3;1;5;3;42
"313570 Jequitibá";1;2;-;3;1;3;1;-;1;1;13
"313580 Jequitinhonha";-;-;7;12;6;4;5;3;5;5;47
"313590 Jesuânia";1;1;-;-;2;1;-;1;-;1;7
"313600 Joaíma";-;1;1;3;-;4;-;1;2;3;15
"313610 Joanésia";-;-;1;-;2;1;-;1;-;-;5
"313620 João Monlevade";26;17;26;14;16;20;13;15;11;9;167
"313630 João Pinheiro";14;19;15;11;15;14;13;13;21;19;154
"313640 Joaquim Felício";9;11;3;3;9;7;5;5;4;2;58
"313650 Jordânia";2;1;3;-;2;-;2;-;-;4;14
"313652 José Gonçalves de Minas";1;2;1;4;-;-;-;-;1;-;9
"313655 José Raydan";-;3;-;-;-;-;-;1;-;-;4
"313657 Josenópolis";-;-;-;-;-;-;1;-;1;-;2
"313665 Juatuba";11;6;9;7;6;3;6;9;2;5;64
"313670 Juiz de Fora";76;102;91;109;100;116;76;90;81;77;918
"313680 Juramento";-;1;3;1;2;1;1;1;1;1;12
"313690 Juruaia";-;4;1;1;1;1;-;-;1;-;9
"313695 Juvenília";-;-;-;1;-;1;-;3;1;2;8
"313700 Ladainha";2;1;2;5;2;1;2;-;1;4;20
"313710 Lagamar";1;5;4;2;1;-;1;2;2;-;18
"313720 Lagoa da Prata";6;9;6;5;9;11;13;7;8;1;75
"313730 Lagoa dos Patos";4;-;-;1;-;1;-;-;-;-;6
"313740 Lagoa Dourada";2;1;4;1;2;2;1;6;3;2;24
"313750 Lagoa Formosa";5;2;10;3;1;2;3;-;2;4;32
"313753 Lagoa Grande";-;2;7;12;6;5;1;4;13;8;58
"313760 Lagoa Santa";1;5;1;-;-;-;-;-;-;-;7
"313770 Lajinha";1;3;4;6;3;4;2;3;2;2;30
"313780 Lambari";2;3;5;5;3;3;3;1;3;6;34
"313790 Lamim";-;-;-;-;-;1;-;1;-;-;2
"313800 Laranjal";-;1;1;1;2;1;-;2;3;-;11
"313810 Lassance";1;1;6;2;3;-;-;7;1;1;22
"313820 Lavras";37;45;27;22;24;24;26;11;26;19;261
"313830 Leandro Ferreira";-;-;-;1;1;-;-;-;-;1;3
"313835 Leme do Prado";1;-;-;-;1;-;-;-;-;-;2
"313840 Leopoldina";6;-;2;4;16;18;20;25;14;14;119
"313850 Liberdade";1;-;3;1;1;-;-;1;2;2;11
"313860 Lima Duarte";2;1;4;2;1;4;3;3;6;2;28
"313862 Limeira do Oeste";2;2;1;2;-;1;1;-;-;2;11
"313865 Lontra";1;1;-;1;1;2;5;1;-;-;12
"313868 Luislândia";-;-;1;-;-;-;-;1;1;-;3
"313870 Luminárias";-;-;-;1;1;-;-;1;1;-;4
"313880 Luz";8;16;23;24;21;8;16;14;9;4;143
"313890 Machacalis";1;2;1;2;2;2;-;1;1;-;12
"313900 Machado";6;12;7;1;9;12;9;7;6;8;77
"313910 Madre de Deus de Minas";-;5;4;1;1;1;-;1;2;-;15
"313920 Malacacheta";2;3;-;1;5;2;2;5;10;3;33
"313925 Mamonas";-;-;1;-;-;-;-;1;-;-;2
"313930 Manga";1;2;3;6;3;3;2;2;2;1;25
"313940 Manhuaçu";49;58;63;39;52;34;30;49;36;35;445
"313950 Manhumirim";2;4;2;7;3;2;1;4;2;-;27
"313960 Mantena";7;5;3;3;3;4;3;4;6;3;41
"313980 Mar de Espanha";3;-;1;1;3;-;1;2;-;-;11
"313970 Maravilhas";-;-;3;3;1;3;2;1;-;2;15
"313990 Maria da Fé";3;3;2;3;-;-;1;-;1;-;13
"314000 Mariana";8;3;10;5;5;6;6;11;3;4;61
"314010 Marilac";1;2;1;1;1;-;-;-;-;-;6
"314015 Mário Campos";1;1;-;-;2;-;-;1;-;-;5
"314020 Maripá de Minas";-;-;-;4;-;-;1;-;1;-;6
"314030 Marliéria";-;1;-;-;-;-;1;2;1;-;5
"314050 Martinho Campos";7;2;6;1;6;6;3;3;4;6;44
"314053 Martins Soares";5;2;9;2;3;1;1;2;5;1;31
"314055 Mata Verde";1;-;-;-;-;2;-;1;-;-;4
"314060 Materlândia";1;-;-;2;-;-;1;-;-;-;4
"314070 Mateus Leme";2;3;3;10;8;6;6;3;3;2;46
"317150 Mathias Lobato";1;1;-;-;-;3;1;1;1;-;8
"314080 Matias Barbosa";3;3;2;1;4;1;2;-;2;-;18
"314085 Matias Cardoso";-;1;3;1;2;1;3;1;-;1;13
"314090 Matipó";6;6;6;6;4;3;2;6;2;2;43
"314100 Mato Verde";4;3;2;5;4;1;2;6;2;2;31
"314110 Matozinhos";1;3;2;3;3;2;2;1;-;2;19
"314120 Matutina";1;3;-;-;1;3;-;-;-;-;8
"314130 Medeiros";-;1;-;-;1;1;-;-;-;-;3
"314140 Medina";5;3;4;7;11;9;4;8;5;7;63
"314150 Mendes Pimentel";2;2;2;-;1;-;1;3;2;1;14
"314160 Mercês";-;2;2;-;1;2;-;4;2;2;15
"314170 Mesquita";-;-;1;-;-;-;-;1;2;-;4
"314180 Minas Novas";2;2;1;1;3;7;1;3;-;3;23
"314190 Minduri";1;1;2;-;-;-;-;-;1;-;5
"314200 Mirabela";6;3;7;2;4;3;2;1;2;3;33
"314210 Miradouro";4;9;3;-;1;4;4;8;1;2;36
"314220 Miraí";1;2;3;3;2;3;-;-;2;-;16
"314225 Miravânia";-;-;-;3;-;-;-;-;1;1;5
"314230 Moeda";-;2;1;-;1;3;1;-;1;-;9
"314240 Moema";2;1;-;1;1;-;1;1;1;3;11
"314250 Monjolos";-;-;-;-;-;1;-;-;-;-;1
"314260 Monsenhor Paulo";-;-;1;-;1;-;1;2;-;1;6
"314270 Montalvânia";-;1;4;5;-;2;-;1;2;2;17
"314280 Monte Alegre de Minas";11;17;11;10;10;4;7;7;5;7;89
"314290 Monte Azul";4;3;5;3;3;1;4;7;4;7;41
"314300 Monte Belo";8;4;14;5;3;4;2;3;2;2;47
"314310 Monte Carmelo";12;13;17;11;9;16;4;8;12;13;115
"314315 Monte Formoso";-;-;3;-;-;-;-;-;1;-;4
"314320 Monte Santo de Minas";1;1;5;5;2;2;2;2;1;5;26
"314340 Monte Sião";3;6;3;3;1;3;3;1;1;4;28
"314330 Montes Claros";129;114;112;108;114;114;101;99;83;94;1068
"314345 Montezuma";-;-;2;1;1;1;1;-;1;3;10
"314350 Morada Nova de Minas";1;-;3;-;-;1;1;2;-;1;9
"314360 Morro da Garça";1;-;2;-;1;1;1;-;-;-;6
"314370 Morro do Pilar";-;-;-;-;2;-;-;-;-;-;2
"314380 Munhoz";-;-;-;-;-;1;-;-;4;-;5
"314390 Muriaé";48;55;42;22;35;39;25;30;35;28;359
"314400 Mutum";3;5;5;1;2;2;2;5;5;4;34
"314410 Muzambinho";8;3;2;4;3;4;8;4;6;1;43
"314420 Nacip Raydan";1;-;-;-;1;-;-;-;-;-;2
"314430 Nanuque";9;8;8;8;4;4;5;3;1;4;54
"314435 Naque";2;3;2;-;2;1;-;5;11;-;26
"314437 Natalândia";-;-;1;-;-;2;-;1;1;-;5
"314440 Natércia";-;1;1;-;-;-;-;-;-;1;3
"314450 Nazareno";4;3;5;2;5;1;1;2;2;3;28
"314460 Nepomuceno";5;3;-;3;3;3;5;1;1;4;28
"314465 Ninheira";2;1;-;-;1;3;-;3;1;1;12
"314467 Nova Belém";1;-;-;-;1;-;-;1;-;-;3
"314470 Nova Era";3;3;4;14;11;11;15;9;9;12;91
"314480 Nova Lima";27;26;23;17;24;16;19;14;22;9;197
"314490 Nova Módica";-;-;-;1;1;1;-;-;-;-;3
"314500 Nova Ponte";5;7;9;10;7;3;12;7;4;1;65
"314505 Nova Porteirinha";-;1;1;1;-;2;-;-;2;4;11
"314510 Nova Resende";2;3;1;3;2;1;2;3;1;4;22
"314520 Nova Serrana";19;27;20;33;14;27;18;12;8;13;191
"313660 Nova União";1;2;5;4;12;-;-;3;-;2;29
"314530 Novo Cruzeiro";7;4;5;6;3;6;2;2;4;4;43
"314535 Novo Oriente de Minas";1;-;1;1;2;-;-;1;-;-;6
"314537 Novorizonte";1;-;-;1;1;-;1;-;-;-;4
"314540 Olaria";-;6;-;-;1;-;2;-;-;-;9
"314545 Olhos-d'Água";-;3;2;-;3;2;2;1;1;-;14
"314560 Oliveira";10;17;12;14;4;11;22;21;19;17;147
"314570 Oliveira Fortes";-;1;1;5;1;1;1;1;2;1;14
"314580 Onça de Pitangui";-;-;1;-;-;1;4;-;-;1;7
"314585 Oratórios";-;2;-;-;-;-;-;1;-;-;3
"314587 Orizânia";2;4;2;3;5;2;2;2;-;3;25
"314590 Ouro Branco";5;7;2;5;6;3;3;2;2;4;39
"314600 Ouro Fino";5;4;12;7;4;8;7;2;1;6;56
"314610 Ouro Preto";7;18;6;5;16;13;13;10;3;10;101
"314620 Ouro Verde de Minas";-;-;-;1;1;-;-;1;2;1;6
"314625 Padre Carvalho";3;1;1;17;6;6;2;3;8;2;49
"314630 Padre Paraíso";6;1;7;5;10;9;10;4;3;3;58
"314655 Pai Pedro";1;4;3;1;-;-;1;-;3;-;13
"314640 Paineiras";-;2;1;-;-;-;-;-;-;3;6
"314650 Pains";2;1;2;1;2;2;-;3;2;-;15
"314660 Paiva";-;-;-;-;-;-;-;-;-;1;1
"314670 Palma";-;-;1;-;-;1;-;4;-;-;6
"314675 Palmópolis";-;-;-;1;-;-;1;-;2;2;6
"314690 Papagaios";1;5;3;1;2;4;2;5;3;2;28
"314710 Pará de Minas";24;16;18;31;26;17;14;16;20;21;203
"314700 Paracatu";23;18;35;11;15;16;14;17;17;23;189
"314720 Paraguaçu";2;5;8;4;2;3;7;3;2;8;44
"314730 Paraisópolis";2;4;4;6;2;4;3;-;2;-;27
"314740 Paraopeba";-;-;4;3;6;4;6;10;4;6;43
"314760 Passa Quatro";6;4;4;-;4;-;3;-;1;6;28
"314770 Passa Tempo";1;1;-;1;2;1;1;-;1;2;10
"314780 Passa-Vinte";-;-;-;1;2;-;-;-;-;-;3
"314750 Passabém";-;-;-;-;1;-;-;-;-;-;1
"314790 Passos";31;34;37;21;36;12;22;26;21;16;256
"314795 Patis";-;1;-;-;1;1;-;-;-;1;4
"314800 Patos de Minas";73;56;41;49;66;49;38;59;48;44;523
"314810 Patrocínio";19;25;41;22;20;10;22;40;16;23;238
"314820 Patrocínio do Muriaé";-;-;-;-;-;2;2;-;1;-;5
"314830 Paula Cândido";1;3;1;1;1;3;-;2;-;1;13
"314840 Paulistas";-;-;-;-;-;-;1;1;-;1;3
"314850 Pavão";2;-;1;1;-;1;-;2;1;-;8
"314860 Peçanha";6;1;4;4;3;1;2;2;4;1;28
"314870 Pedra Azul";4;4;5;5;1;1;8;8;7;5;48
"314875 Pedra Bonita";1;-;-;-;-;-;-;-;-;-;1
"314880 Pedra do Anta";2;-;-;-;-;-;1;1;-;1;5
"314890 Pedra do Indaiá";2;4;2;5;2;6;6;2;3;-;32
"314900 Pedra Dourada";1;2;3;-;-;-;-;-;-;-;6
"314910 Pedralva";2;-;2;-;1;1;2;1;1;1;11
"314915 Pedras de Maria da Cruz";-;1;1;1;1;1;8;-;4;1;18
"314920 Pedrinópolis";-;-;-;-;-;-;-;1;1;-;2
"314930 Pedro Leopoldo";4;8;5;9;5;3;2;6;3;-;45
"314940 Pedro Teixeira";-;-;1;-;-;-;1;-;1;-;3
"314950 Pequeri";-;1;-;-;-;-;-;-;-;-;1
"314960 Pequi";1;1;1;1;3;1;1;1;1;3;14
"314970 Perdigão";1;2;2;-;3;1;3;3;-;-;15
"314980 Perdizes";4;5;6;6;11;5;5;4;5;6;57
"314990 Perdões";10;1;10;3;13;3;3;7;4;3;57
"314995 Periquito";8;4;4;4;5;5;2;9;7;2;50
"315000 Pescador";-;1;-;-;-;1;-;1;1;-;4
"315010 Piau";1;2;-;-;4;1;1;1;-;-;10
"315015 Piedade de Caratinga";1;1;1;1;5;1;1;-;-;1;12
"315020 Piedade de Ponte Nova";-;-;-;-;-;1;-;-;-;1;2
"315030 Piedade do Rio Grande";-;1;-;-;-;1;-;-;2;1;5
"315040 Piedade dos Gerais";-;-;-;1;-;-;-;-;2;-;3
"315050 Pimenta";3;-;-;1;5;-;5;8;4;2;28
"315053 Pingo-d'Água";-;-;-;3;2;-;-;-;-;-;5
"315057 Pintópolis";1;-;1;3;1;1;1;1;-;-;9
"315060 Piracema";1;2;-;1;-;1;1;1;-;1;8
"315070 Pirajuba";1;-;2;-;2;3;1;-;3;1;13
"315080 Piranga";2;2;2;3;4;1;1;1;2;1;19
"315090 Piranguçu";-;2;-;-;-;-;-;-;2;-;4
"315100 Piranguinho";5;3;5;3;1;-;-;3;1;2;23
"315110 Pirapetinga";-;-;-;-;2;1;3;-;-;3;9
"315120 Pirapora";10;10;15;17;15;17;11;16;9;11;131
"315130 Piraúba";2;3;4;6;3;1;1;4;2;3;29
"315140 Pitangui";8;15;5;7;8;3;3;3;-;1;53
"315150 Piumhi";11;14;17;14;5;4;9;9;7;10;100
"315160 Planura";4;1;1;4;8;2;1;1;2;2;26
"315170 Poço Fundo";2;1;3;2;2;5;2;7;1;-;25
"315180 Poços de Caldas";35;55;32;26;28;32;25;29;18;17;297
"315190 Pocrane";1;1;3;-;5;2;-;1;-;1;14
"315200 Pompéu";5;4;6;2;8;10;6;8;7;3;59
"315210 Ponte Nova";18;31;40;25;28;26;18;32;20;20;258
"315213 Ponto Chique";-;1;-;-;-;-;1;-;1;1;4
"315217 Ponto dos Volantes";3;5;3;6;10;8;3;2;6;4;50
"315220 Porteirinha";12;4;14;12;11;7;8;6;5;8;87
"315230 Porto Firme";1;1;-;2;-;4;1;1;-;-;10
"315240 Poté";3;6;4;2;5;5;4;4;3;-;36
"315250 Pouso Alegre";37;44;41;48;24;22;36;41;38;54;385
"315260 Pouso Alto";4;-;5;2;7;-;3;2;2;4;29
"315270 Prados";1;1;-;2;1;3;2;5;4;-;19
"315280 Prata";30;15;13;24;13;12;13;10;13;12;155
"315290 Pratápolis";1;-;1;9;1;-;1;2;4;1;20
"315300 Pratinha";-;-;-;1;2;-;-;1;-;-;4
"315310 Presidente Bernardes";-;-;-;1;-;-;-;-;2;-;3
"315320 Presidente Juscelino";7;4;1;2;3;-;-;-;1;-;18
"315330 Presidente Kubitschek";1;-;-;-;-;-;1;-;-;-;2
"315340 Presidente Olegário";2;7;1;5;5;8;8;-;2;8;46
"315360 Prudente de Morais";1;3;1;1;4;2;-;-;2;2;16
"315370 Quartel Geral";-;-;4;-;-;-;-;1;-;1;6
"315380 Queluzito";1;-;-;-;-;-;-;2;-;1;4
"315390 Raposos";-;1;-;-;1;1;1;-;-;-;4
"315400 Raul Soares";2;9;2;5;3;4;5;2;1;4;37
"315410 Recreio";-;-;-;-;-;-;-;-;1;-;1
"315415 Reduto";2;6;3;6;2;1;4;4;5;3;36
"315420 Resende Costa";1;-;-;-;1;-;2;-;-;-;4
"315430 Resplendor";4;3;5;4;9;5;4;6;5;2;47
"315440 Ressaquinha";5;6;5;1;1;4;2;-;4;3;31
"315445 Riachinho";5;1;2;-;6;2;1;-;-;-;17
"315450 Riacho dos Machados";-;1;2;1;2;4;-;1;-;2;13
"315460 Ribeirão das Neves";24;22;16;25;17;17;19;25;17;16;198
"315470 Ribeirão Vermelho";-;-;-;-;-;-;-;1;1;1;3
"315480 Rio Acima";-;-;2;1;2;1;-;-;1;1;8
"315490 Rio Casca";11;10;5;5;4;8;1;3;2;2;51
"315510 Rio do Prado";-;-;-;-;-;1;-;-;-;-;1
"315520 Rio Espera";-;-;-;-;-;-;2;-;-;-;2
"315530 Rio Manso";1;3;4;-;2;-;-;-;-;1;11
"315540 Rio Novo";2;3;2;-;-;1;1;-;-;1;10
"315550 Rio Paranaíba";6;4;5;2;5;3;4;8;4;13;54
"315560 Rio Pardo de Minas";1;3;3;5;3;-;3;4;-;-;22
"315570 Rio Piracicaba";-;5;1;5;3;2;3;1;2;1;23
"315580 Rio Pomba";3;4;5;2;8;4;3;6;8;4;47
"315590 Rio Preto";-;1;-;-;-;-;-;-;-;1;2
"315600 Rio Vermelho";1;1;3;1;-;1;4;-;1;1;13
"315610 Ritápolis";1;4;2;2;1;-;1;-;1;1;13
"315620 Rochedo de Minas";2;-;-;1;-;1;-;-;2;2;8
"315630 Rodeiro";3;2;1;1;2;-;4;4;2;1;20
"315640 Romaria";1;2;3;1;2;-;2;1;-;-;12
"315645 Rosário da Limeira";-;2;-;1;3;1;-;1;1;1;10
"315650 Rubelita";-;-;-;1;-;1;1;-;1;-;4
"315660 Rubim";1;3;1;-;-;-;1;-;-;-;6
"315670 Sabará";14;2;30;21;17;34;25;12;10;5;170
"315680 Sabinópolis";2;4;4;1;4;3;5;3;3;5;34
"315690 Sacramento";15;10;6;3;12;11;6;6;4;4;77
"315700 Salinas";20;16;17;18;18;12;13;27;19;6;166
"315710 Salto da Divisa";-;-;-;-;1;-;-;1;-;1;3
"315720 Santa Bárbara";1;4;5;6;2;3;6;4;3;3;37
"315725 Santa Bárbara do Leste";1;1;1;6;6;3;5;3;3;-;29
"315727 Santa Bárbara do Monte Verde";1;-;-;-;-;-;-;-;-;-;1
"315730 Santa Bárbara do Tugúrio";1;-;2;-;-;5;2;2;1;1;14
"315733 Santa Cruz de Minas";-;-;-;-;-;-;-;1;-;-;1
"315737 Santa Cruz de Salinas";1;-;-;2;2;3;3;1;-;3;15
"315740 Santa Cruz do Escalvado";-;-;-;1;-;-;-;1;-;-;2
"315750 Santa Efigênia de Minas";1;3;-;-;1;2;-;-;2;-;9
"315760 Santa Fé de Minas";-;-;-;-;-;-;1;-;-;2;3
"315765 Santa Helena de Minas";-;-;1;-;-;1;-;3;-;-;5
"315770 Santa Juliana";4;12;2;2;2;2;3;1;3;4;35
"315780 Santa Luzia";16;10;25;9;11;10;12;6;9;1;109
"315790 Santa Margarida";1;-;2;1;3;5;1;-;3;1;17
"315800 Santa Maria de Itabira";2;3;1;4;3;2;3;1;1;1;21
"315810 Santa Maria do Salto";-;-;-;-;-;1;-;1;1;-;3
"315820 Santa Maria do Suaçuí";5;4;-;-;2;2;2;2;4;1;22
"315920 Santa Rita de Caldas";2;-;2;1;7;3;2;-;-;6;23
"315930 Santa Rita de Jacutinga";2;1;-;3;1;1;-;3;-;2;13
"315935 Santa Rita de Minas";2;2;7;3;2;3;1;3;6;-;29
"315950 Santa Rita do Itueto";-;1;1;1;-;-;-;1;1;1;6
"315960 Santa Rita do Sapucaí";3;5;8;10;3;8;2;4;4;2;49
"315970 Santa Rosa da Serra";2;1;-;-;-;-;-;1;3;2;9
"315980 Santa Vitória";4;6;3;5;4;3;6;1;1;3;36
"315830 Santana da Vargem";1;3;1;1;-;-;-;2;2;2;12
"315840 Santana de Cataguases";-;-;-;1;-;1;-;-;-;-;2
"315850 Santana de Pirapama";2;2;2;1;1;-;1;1;1;-;11
"315860 Santana do Deserto";-;-;-;-;-;-;-;1;-;-;1
"315870 Santana do Garambéu";-;-;-;1;1;-;-;-;-;-;2
"315890 Santana do Manhuaçu";1;2;1;2;3;1;2;-;-;2;14
"315895 Santana do Paraíso";11;12;9;7;6;2;3;10;9;2;71
"315900 Santana do Riacho";1;-;-;2;2;-;-;-;-;-;5
"315910 Santana dos Montes";3;-;-;-;-;1;-;-;-;1;5
"315990 Santo Antônio do Amparo";5;-;7;4;6;7;7;5;4;4;49
"316000 Santo Antônio do Aventureiro";-;-;-;-;1;-;-;-;-;-;1
"316010 Santo Antônio do Grama";3;-;3;3;4;-;-;-;1;-;14
"316020 Santo Antônio do Itambé";-;3;-;-;2;-;-;-;-;-;5
"316030 Santo Antônio do Jacinto";-;-;1;-;2;1;-;2;-;-;6
"316040 Santo Antônio do Monte";3;2;2;6;3;2;6;1;2;4;31
"316045 Santo Antônio do Retiro";1;2;2;1;1;1;1;4;-;1;14
"316060 Santo Hipólito";-;1;-;-;2;-;-;-;-;-;3
"316070 Santos Dumont";10;13;15;11;10;15;10;4;4;7;99
"316080 São Bento Abade";-;-;-;-;1;1;-;-;-;-;2
"316090 São Brás do Suaçuí";3;-;1;1;-;1;1;1;2;2;12
"316095 São Domingos das Dores";1;-;-;-;1;-;1;-;-;-;3
"316100 São Domingos do Prata";2;9;6;18;3;9;7;6;1;4;65
"316105 São Félix de Minas";-;-;-;-;-;-;-;-;1;2;3
"316110 São Francisco";6;3;8;8;5;8;5;12;3;3;61
"316120 São Francisco de Paula";-;-;-;1;2;-;-;-;-;1;4
"316130 São Francisco de Sales";1;1;-;1;-;1;-;1;2;-;7
"316140 São Francisco do Glória";1;-;-;-;3;-;1;-;1;4;10
"316150 São Geraldo";2;2;3;1;1;2;-;-;2;2;15
"316160 São Geraldo da Piedade";1;1;1;-;-;-;-;-;-;-;3
"316165 São Geraldo do Baixio";-;-;-;-;1;-;-;-;-;1;2
"316170 São Gonçalo do Abaeté";6;2;2;11;14;4;11;3;1;1;55
"316180 São Gonçalo do Pará";5;1;4;3;2;3;5;1;1;2;27
"316190 São Gonçalo do Rio Abaixo";25;26;21;14;9;11;15;12;23;3;159
"312550 São Gonçalo do Rio Preto";-;2;-;1;3;-;-;-;-;1;7
"316200 São Gonçalo do Sapucaí";8;7;5;7;5;3;2;5;3;1;46
"316210 São Gotardo";3;2;12;3;4;4;2;11;6;7;54
"316220 São João Batista do Glória";-;4;-;2;3;1;-;-;-;-;10
"316225 São João da Lagoa";1;1;1;-;-;4;2;2;-;-;11
"316230 São João da Mata";-;-;-;1;2;-;-;-;2;-;5
"316240 São João da Ponte";1;4;-;3;1;4;2;2;1;3;21
"316245 São João das Missões";-;2;-;2;1;1;1;2;-;-;9
"316250 São João del Rei";25;23;24;26;29;21;25;23;17;15;228
"316255 São João do Manhuaçu";1;4;4;8;3;2;1;11;3;4;41
"316257 São João do Manteninha";2;1;2;3;1;1;1;8;1;1;21
"316260 São João do Oriente";1;-;-;-;-;-;1;1;1;1;5
"316265 São João do Pacuí";1;1;-;-;-;-;-;1;-;-;3
"316270 São João do Paraíso";2;5;2;5;6;4;1;2;1;-;28
"316280 São João Evangelista";4;2;1;2;6;7;5;3;4;3;37
"316290 São João Nepomuceno";4;2;7;1;1;1;7;6;3;-;32
"316292 São Joaquim de Bicas";1;6;7;8;-;1;1;1;1;2;28
"316294 São José da Barra";-;3;2;-;-;-;1;4;4;-;14
"316295 São José da Lapa";1;1;-;-;-;-;-;-;-;-;2
"316300 São José da Safira";-;-;2;1;1;-;2;-;-;1;7
"316310 São José da Varginha";1;3;1;1;-;-;1;3;1;2;13
"316320 São José do Alegre";1;2;-;1;-;-;-;2;-;-;6
"316330 São José do Divino";-;-;-;-;-;-;1;-;-;2;3
"316340 São José do Goiabal";-;-;-;-;-;-;-;2;-;-;2
"316350 São José do Jacuri";-;2;-;1;-;1;2;2;1;1;10
"316360 São José do Mantimento";-;-;-;1;2;-;1;-;-;-;4
"316370 São Lourenço";11;13;11;20;12;9;10;16;7;8;117
"316380 São Miguel do Anta";1;-;1;2;-;1;-;2;-;-;7
"316390 São Pedro da União";-;1;1;-;2;2;1;-;2;-;9
"316410 São Pedro do Suaçuí";1;1;3;-;2;1;-;-;1;1;10
"316400 São Pedro dos Ferros";2;2;1;-;-;2;1;-;-;1;9
"316420 São Romão";1;-;-;1;1;-;-;-;1;-;4
"316430 São Roque de Minas";2;3;1;2;3;1;1;2;3;-;18
"316440 São Sebastião da Bela Vista";2;7;2;1;-;10;2;3;3;2;32
"316443 São Sebastião da Vargem Alegre";-;-;2;-;1;-;-;2;-;1;6
"316447 São Sebastião do Anta";1;-;-;-;2;-;-;-;-;-;3
"316450 São Sebastião do Maranhão";-;-;1;2;-;-;-;1;1;1;6
"316460 São Sebastião do Oeste";1;2;2;6;1;1;1;1;-;3;18
"316470 São Sebastião do Paraíso";10;15;13;9;20;18;9;13;9;10;126
"316490 São Sebastião do Rio Verde";-;1;-;-;-;-;-;2;-;-;3
"316520 São Thomé das Letras";-;1;-;-;1;-;-;-;2;1;5
"316500 São Tiago";3;-;1;-;3;1;-;-;1;1;10
"316510 São Tomás de Aquino";-;1;2;2;1;-;-;1;1;-;8
"316530 São Vicente de Minas";3;-;1;1;2;1;-;-;-;-;8
"316540 Sapucaí-Mirim";1;-;-;2;-;1;-;1;3;1;9
"316550 Sardoá";1;-;-;1;1;2;-;-;3;2;10
"316553 Sarzedo";4;1;1;2;5;2;3;3;3;-;24
"316557 Senador Amaral";-;1;1;2;-;-;2;-;-;2;8
"316570 Senador Firmino";3;-;-;1;-;2;1;1;1;-;9
"316580 Senador José Bento";-;-;1;-;2;-;2;2;-;4;11
"316590 Senador Modestino Gonçalves";1;3;-;-;1;-;-;-;1;-;6
"316600 Senhora de Oliveira";-;-;-;-;-;1;1;2;1;1;6
"316610 Senhora do Porto";1;1;-;2;2;1;-;-;1;1;9
"316620 Senhora dos Remédios";-;2;1;1;-;2;1;3;2;-;12
"316630 Sericita";1;1;1;1;-;-;-;-;-;-;4
"316640 Seritinga";-;-;-;1;-;-;-;-;1;-;2
"316650 Serra Azul de Minas";-;-;-;-;1;-;-;1;-;-;2
"316660 Serra da Saudade";-;-;-;-;-;1;-;-;1;-;2
"316680 Serra do Salitre";3;1;2;2;2;1;4;12;8;11;46
"316670 Serra dos Aimorés";-;3;1;3;-;1;-;1;1;2;12
"316690 Serrania";2;2;-;1;-;-;-;2;-;-;7
"316695 Serranópolis de Minas";-;-;2;1;-;-;-;1;1;-;5
"316700 Serranos";1;-;-;-;-;1;-;-;1;-;3
"316710 Serro";2;4;10;3;3;2;4;-;4;1;33
"316720 Sete Lagoas";59;47;72;75;74;41;52;34;45;47;546
"316555 Setubinha";2;1;1;1;2;3;-;-;1;-;11
"316730 Silveirânia";-;1;-;1;1;-;-;-;-;1;4
"316740 Silvianópolis";-;2;1;1;-;-;1;3;-;-;8
"316750 Simão Pereira";2;-;-;-;-;1;2;3;4;-;12
"316760 Simonésia";3;1;2;1;1;1;1;1;-;-;11
"316770 Sobrália";2;-;1;-;-;1;-;1;-;-;5
